-10 0.0099009901
-9.5 0.010958904
-9 0.012195122
-8.5 0.013651877
-8 0.015384615
-7.5 0.017467249
-7 0.02
-6.5 0.023121387
-6 0.027027027
-5.5 0.032
-5 0.038461538
-4.5 0.047058824
-4 0.058823529
-3.5 0.075471698
-3 0.1
-2.5 0.13793103
-2 0.2
-1.5 0.30769231
-1 0.5
-0.5 0.8
0 1
0.5 0.8
1 0.5
1.5 0.30769231
2 0.2
2.5 0.13793103
3 0.1
3.5 0.075471698
4 0.058823529
4.5 0.047058824
5 0.038461538
5.5 0.032
6 0.027027027
6.5 0.023121387
7 0.02
7.5 0.017467249
8 0.015384615
8.5 0.013651877
9 0.012195122
9.5 0.010958904
10 0.0099009901
